strategy,version,status,triggers,win_rate,roi_pct,pl_net,key_filters,vs_base_improvement,critical_issue,recommendation
back_draw_00,v1,deprecated,12,50.0,12.5,10.00,"min 30+, 0-0","BASE",,❌ No usar
back_draw_00,v2,active,9,60.0,42.8,21.40,"v1 + xG<0.5 + poss<20% + shots<8","+30.3% ROI vs v1","Muy restrictiva (solo 5 bets)",✅ Producción
back_draw_00,v2r,RECOMMENDED,12,57.1,50.2,35.17,"v1 + xG<0.6 + poss<20% + shots<8","+37.7% ROI vs v1","Balance óptimo",⭐ MEJOR OPCIÓN
back_draw_00,v15,active,8,75.0,65.0,26.00,"v1 + xG<0.6 + poss<25%","+52.5% ROI vs v1","Pocos triggers (4 bets)",✅ Muy efectiva
xg_underperformance,base,⚠️ CAUTION,26,80.0,34.9,52.28,"Perdiendo + xG≥0.5 + min≥15","BASE","ENTRADAS TARDÍAS (min 82-96)",⚠️ Desactivar o limitar
xg_underperformance,v2,active,18,72.7,24.7,27.13,"base + SoT≥2","-10.2% ROI vs base","Mejora calidad triggers",✅ Producción
xg_underperformance,v3,🔬 TESTING,14,100.0,41.5,24.88,"v2 + min<70","+6.6% ROI vs base","PREVIENE FALLOS HOY",⭐ ACTIVAR YA
xg_underperformance,v1_plus,research,7,100.0,136.2,68.10,"Perdiendo + SoT≥2 + min<75","+101.3% ROI vs base","Muestra muy pequeña (5)",🔬 Necesita más datos
odds_drift_contrarian,v1,RECOMMENDED,42,66.7,142.3,384.32,"Ganando + drift≥25%","BASE",,⭐ MEJOR ESTRATEGIA
odds_drift_contrarian,v2,research,18,75.0,165.4,198.48,"v1 + drift≥35%","+23.1% ROI vs v1","Menos triggers",🔬 Prometedora
odds_drift_contrarian,v3,research,35,59.1,98.5,216.70,"v1 + cualquier ventaja","-43.8% ROI vs v1","WR baja",⚠️ No recomendada
goal_clustering,v1,deprecated,68,65.4,45.2,235.04,"Tras gol + min≥15","BASE","Muchos falsos positivos",❌ No usar
goal_clustering,v2,RECOMMENDED,58,75.0,72.7,320.04,"v1 + SoT_max≥3","+27.5% ROI vs v1",,⭐ PRODUCCIÓN
goal_clustering,v3,🔬 TESTING,42,78.6,85.3,238.84,"v2 + min<75","+12.6% ROI vs v2","Evita goles tardíos",⭐ MUY PROMETEDORA
pressure_cooker,v0,deprecated,24,63.2,-12.5,-23.75,"Empate any + min 65-75","BASE","0-0 destruye ROI",❌ No usar
pressure_cooker,v1,🔬 TESTING,21,81.2,81.9,131.01,"v0 EXCL 0-0 (solo 1-1+)","+94.4% ROI vs v0","Muestra pequeña (16)",🔬 Validar con 50+ bets
